회사명,카테고리,설명,링크,설명상세,지역,홈페이지
Aanika Biosciences,FOOD & BEVERAGE,"Aanika Biosciences leverages the power of biotechnology to track, trace and authenticate products throughout supply chains.",https://www.plugandplaytechcenter.com/startup/aanikabio-com,"""Aanika Biosciences is a pioneering biotechnology company specializing in securing supply chains through the power of synthetic biology. By leveraging microbial tags, Aanika offers customers detailed insights into the origins and journey of their ingredients and products. This tagging system provides a comprehensive view of supply chain activities, enabling businesses to optimize processes and reduce costs effectively. Aanika collaborates closely with clients to develop tailored end-to-end solutions, integrating tag applications seamlessly into existing workflows. With a focus on simplicity and customization, Aanika's innovative approach ensures quick tag readouts and personalized data outputs that align with each business's specific needs.""","Silicon Valley, California",http://aanikabio.com/
Aaron.ai,HEALTH,Aaron is the Doctor Assistant powered by conversational AI,https://www.plugandplaytechcenter.com/startup/aaron-ai,"Aaron.ai is a healthcare company focused on revolutionizing access to healthcare through conversational AI technology. With a vision to provide instant healthcare access 24/7 to individuals of all ages, Aaron.ai addresses the growing demand for healthcare services amidst a shortage of healthcare staff. Their AI-powered Doctor Assistant serves as a bridge between patients and healthcare providers, enabling seamless communication and support. Already trusted by over 2000 doctors and endorsed by the German Federal Ministry of Health, Aaron.ai's innovative solution is reshaping the healthcare landscape by enhancing efficiency and accessibility in the healthcare industry.","Munich, Germany",http://aaron.ai/
ABAzyne,FOOD & BEVERAGE,ABAzyne is a Canadian agriculture bioscience company that develops leading patented synthetic Abscisic Acid (ABA).analogs for plant growth regulation applications.,https://www.plugandplaytechcenter.com/startup/abazyne-com,"""ABAzyne is a Canadian agtech company specializing in the development of patented synthetic Abscisic Acid (ABA) analogs for plant growth regulation applications. With a focus on enhancing crop resilience to climate extremes and environmental stresses, ABAzyne offers two key products: ABA Boost and ABA Blocker. ABA Boost stimulates plant responses more effectively and efficiently than natural ABA, providing extended functionality, cost savings, and increased potency. On the other hand, ABA Blocker inhibits the action of natural ABA, promoting improved germination rates, enhanced root development, nutrient efficiency, and disease resistance. By leveraging innovative bioscience solutions, ABAzyne equips producers of commercial crops with essential tools to manage and optimize plant growth in challenging conditions, ultimately contributing to sustainable agriculture practices and increased crop yields.""","Alberta, Canada",http://abazyne.com/
Abos Labs,BRAND & RETAIL,Abos Labs Inc is a digital applications developer for web based video media solutions provider.,https://www.plugandplaytechcenter.com/startup/aboslabs-com,"Abos Labs is a digital applications developer specializing in web-based video media solutions. With a focus on video editing software, Abos Labs aims to provide innovative tools for creating and enhancing digital content. Their expertise in developing user-friendly applications for video editing sets them apart in the industry, offering solutions that cater to the needs of content creators and media professionals. By leveraging cutting-edge technology and a commitment to quality, Abos Labs continues to drive innovation in the digital media landscape, empowering users to unleash their creativity and produce high-quality video content.","Silicon Valley, California",http://www.aboslabs.com/
about:energy,MOBILITY,About:Energy provides the tools that enable electrification,https://www.plugandplaytechcenter.com/startup/aboutenergy-co-uk,"""about:energy is a pioneering energy and mobility company specializing in centralizing battery innovation for industry. By offering testing, parameterization, and modeling capabilities tailored to R&D challenges in technology, manufacturing, and automotive sectors, about:energy enables electrification. Their expertise in battery models enhances performance and reduces costs, providing crucial parameters for cell and battery pack design. With a world-leading reputation in parameter extraction, about:energy accelerates innovation by delivering diverse experimental data efficiently. Their one-stop solution for battery modeling needs streamlines the process for companies seeking to optimize battery performance and drive advancements in electrification.""","London, United Kingdom",https://aboutenergy.co.uk/
Abstract,BRAND & RETAIL,Abstract is a software-as-a-service company that is developing a next-generation tool for experts to influence politics and policy.,https://www.plugandplaytechcenter.com/startup/abstract-us,"Abstract AI revolutionizes the way businesses understand and navigate complex legislative and regulatory landscapes. By leveraging advanced artificial intelligence, Abstract AI synthesizes vast amounts of data to uncover critical risks and opportunities presented by current and evolving government policies. This enables organizations to significantly reduce the time and effort traditionally spent on policy analysis, delivering superior insights with unparalleled efficiency. With a modern, user-friendly interface, Abstract AI seamlessly integrates into existing workflows, acting as an indispensable team of analysts. Trusted by top firms, our AI solution enhances the capacity of government relations and policy professionals by providing detailed, actionable intelligence that aligns with the company’s core business objectives. Abstract AI ensures that your organization remains ahead of the curve, proactively managing policy impacts and strategically leveraging lobbying and legal partnerships. Abstract AI continuously improves its intelligence and analysis capabilities, understanding your specific business model and the intricacies of varying government policies. This dynamic growth in analytical power allows organizations to future-proof their strategies, making Abstract AI an essential tool for managing legislative updates, drafting reports, and driving corporate strategy with mission-critical insights.",,http://abstract.us/
Acai Travel Inc.,TRAVEL & HOSPITALITY,"Unleashing the full potential of travel operations with AI-powered automation, for faster and leaner customer service",https://www.plugandplaytechcenter.com/startup/acaitravel-com,"Travel & Hospitality Partners: Kiwi.com, GoWay, World Travel Problem to be solved: Travel agents and call centres struggle to keep up with customer demands in real-time. This results in high operational costs and lost revenue opportunities. Solution: Acai Travel Inc. offers AI-driven solutions to revolutionize travel operations. We focus on doubling agent efficiency, restructuring call centers, and elevating travelers' trust. Our suite includes tools for agent empowerment, call center flexibility, customer service automation, and revenue growth. We cater to OTAs, TMCs, hotels, and airlines, aiming to reduce operational costs and enhance the travel experience through innovative AI applications tailored for the travel sector.",,https://www.acaitravel.com/
Accend,FINTECH,Accend helps Fintech Ops & Compliance teams to accelerate KYB manual reviews,https://www.plugandplaytechcenter.com/startup/withaccend-com,"Accend is a pioneering Fintech company specializing in accelerating KYB manual reviews for Fintech Ops & Compliance teams. By automating the generation of comprehensive KYB/EDD reports and streamlining online research, Accend empowers Risk Operations Teams to combat financial crime and achieve compliance in a fraction of the time. With Accend as their trusted sidekick, teams can say goodbye to hours of manual drafting and tab management, allowing them to focus on critical tasks efficiently. Accend's innovative solution revolutionizes the way Risk Operations Teams operate, providing them with the superpower to enhance their effectiveness in combating financial crime and ensuring regulatory compliance.","Paris, France",https://www.withaccend.com/
Accern,FINTECH,The Accern NoCodeNLP Platform empowers citizen data scientists to extract fast and easy insights from unstructured data.,https://www.plugandplaytechcenter.com/startup/accern-com,"""Accern is a pioneering Fintech and Insurtech company that revolutionizes data analysis with the Accern NoCodeNLP Platform™. This innovative platform empowers citizen data scientists to extract valuable insights from vast amounts of unstructured text data, including news, social media, and internal documents, in minutes. Accern offers pre-built AI/ML/NLP solutions for various industries, such as equity research, credit risk assessment, and fraud prevention, enhancing operational efficiency and maximizing ROI. Recognized as the first No-Code NLP Platform-as-a-Service (PaaS) with top accuracy scores, Accern also allows data scientists to customize AI/ML/NLP workflows with their datasets and models. Trusted by leading companies like Allianz and Mizuho Bank, Accern accelerates innovation by improving existing models and enriching BI dashboards. Headquartered in New York City, Accern is supported by prominent investors, including Fusion Fund and Shasta Ventures.""","Silicon Valley, California",http://accern.com/
Ace AI,INSURTECH,Data Infrastructure for ML,https://www.plugandplaytechcenter.com/startup/aceaicompany-com,"We're building the Stripe of ML; A holistic data-centric platform that helps our enterprise partners accelerate their proprietary AI/ML development and build their own frontier AI models to solve real-world business problems. Our data labelling and ML solutions are cloud-agnostic to meet enterprises wherever their data is stored on their terms and offer the highest levels of security, privacy, and customization with on-premises and private cloud deployment options.","Silicon Valley, California",https://aceaicompany.com/
Acerta,ENERGY,Acerta is a software company that delivers machine learning technology to the manufacturing and automotive industries.,https://www.plugandplaytechcenter.com/startup/acerta-ca,"Acerta is a deeptech company specializing in delivering machine learning technology to the manufacturing and automotive industries. Their AI-powered automotive application is designed to detect manufacturing defects in auto parts, transforming raw machine data into actionable insights. By swiftly diagnosing anomalies and identifying critical issues in vehicles, Acerta provides valuable information on vehicle performance, health, and maintenance. This innovative solution helps automobile companies streamline their operations by reducing resources required for fault detection, ultimately enhancing overall efficiency and quality in the manufacturing and automotive sectors. Acerta's commitment to leveraging machine learning technology for industry advancement positions them as a key player in driving innovation and optimization in the automotive and manufacturing fields.","Silicon Valley, California",http://acerta.ca/
Acre Rewards,FINTECH,"Acre is on a mission to make every home more affordable and rewarding. Led by a world class team of repeat founders and fintech operators from Uber, Amex, Red Ventures, Capital One, Zillow, and LendingTree, they are creating the mortgage rewards category.",https://www.plugandplaytechcenter.com/startup/acrerewards-com,"""Acre Rewards is a pioneering Fintech, Insurtech, and Real Estate & Construction company with a mission to enhance affordability and rewards for homeowners. Led by a world-class team of industry veterans from renowned companies like Uber, Amex, and Zillow, Acre is revolutionizing the mortgage industry by introducing credit-card style rewards for the $1.25 trillion in annual mortgage payments in the US that currently offer no value to consumers. By consolidating the consumer wallet and payment process for homeowners, Acre aims to disrupt the entire home ownership value chain, including mortgage origination and real estate agent fees. Through their innovative approach, Acre is not only saving consumers money but also eliminating unnecessary intermediaries that inflate the cost of home ownership. This disruptive model is set to redefine the landscape of the real estate and mortgage industries.""","Silicon Valley, California",https://www.acrerewards.com/
Actvcontent,FOOD & BEVERAGE,"Improve quality, visibility and streamline communication through industrial workflow automation.",https://www.plugandplaytechcenter.com/startup/actvcontent-com,"""Actvcontent is a pioneering company specializing in industrial workflow automation across various sectors. With a focus on improving quality, visibility, and communication, Actvcontent has successfully implemented their platform at factory sites in Geneva, Switzerland, and Columbia, SC. By visualizing industrial workflow processes in minutes, Actvcontent's mobile-based platform has demonstrated the ability to enhance productivity, quality, and communication efficiency during rework and repair processes. The company's innovative approach has attracted the interest of two large industrial clients, showcasing the potential impact of their solutions on optimizing operations and driving performance improvements. Actvcontent's commitment to streamlining workflows and enhancing communication underscores their dedication to innovation and efficiency in industrial settings.""","Silicon Valley, California",http://www.actvcontent.com/
Acus,MOBILITY,Hgh quality reusable moulds for unique value composites manufacturering.,https://www.plugandplaytechcenter.com/startup/acuscomposites-com,"Acus specializes in providing high-quality, reusable molds for manufacturers of unique value composites. In an industry facing challenges such as high investment costs for composite molding and the lack of circularity in material reuse, Acus offers a solution with their pay-per-use adaptable molds. These molds not only reduce operational costs by eliminating the need for warehouses full of unused molds but also promote sustainability by enabling the reuse of materials. By offering manufacturers the flexibility to create unique shapes and high-value composite pieces, Acus is driving innovation in aerospace, mobility, and sustainability sectors.","Modena, Italy",https://www.acuscomposites.com/
