회사명,카테고리,설명,링크
Advisehub,ENTERPRISE & AI,Legal Marketplace connecting clients with lawyers.,https://www.plugandplaytechcenter.com/startup/advisehub-com
Aerovy,MOBILITY,Orchestrating world's energy to unlock its full potential.,https://www.plugandplaytechcenter.com/startup/aerovy-com
AesculaTech,NEW MATERIALS & PACKAGING,AesculaTech engages in the development and manufacture of a platform of temperature-responsive smart materials for use in medical devices.,https://www.plugandplaytechcenter.com/startup/aesculatech-io
Aeternal Upcycling,NEW MATERIALS & PACKAGING,"Upcycling plastic waste into higher value chemical feedstocks such as waxes, surfactants, and lubricants.",https://www.plugandplaytechcenter.com/startup/aeternalupcycling-com
Aethos,CRYPTO & DIGITAL ASSETS,"Programmable layer for blockchain applications that enables dynamic, ownable rules governing features such as bridging, chain abstraction, rollups, and stablecoin intents.",https://www.plugandplaytechcenter.com/startup/aethos-network
Afforai,SUPPLY CHAIN,Your second brain to distill infinite knowledge to produce TRUSTWORTHY research.,https://www.plugandplaytechcenter.com/startup/afforai-com
Agarea,AGTECH,Agarea is bringing the most transparency and automation to financial risk protection by empowering data produced at the farm level.,https://www.plugandplaytechcenter.com/startup/agarea-com-au
Agen.cy,ENTERPRISE & AI,"Allows you to build your next agent with graphs, monitoring, and replay analytics.",https://www.plugandplaytechcenter.com/startup/agentops-ai
Agentero,INSURTECH,Agentero is empowering independent insurance agents to thrive.,https://www.plugandplaytechcenter.com/startup/agentero-com
Agrellus,FOOD & BEVERAGE,Agrellus is an e-Commerce Marketplace providing growers and sellers of agricultural inputs with digital tools for sourcing and securing ag inputs at the best value.,https://www.plugandplaytechcenter.com/startup/agrellus-farm
Agrigator,SMART CITIES,Agrigator is combining AI and capital to help agribusinesses address challenges arising from climate and operational uncertainties for sustainable growth.,https://www.plugandplaytechcenter.com/startup/agrigator-ai
Agryo,FINTECH,Agryo is a data driven AgFintech platform that creates credit profiles for traditionally under-served farming families through sophisticated risk intelligence and predictive yield algorithms. Agryo supports financing through a peer-to-peer lending network and agricultural debt investment accounts.,https://www.plugandplaytechcenter.com/startup/agryo-com
Agvend,FOOD & BEVERAGE,Agribusiness Marketplace,https://www.plugandplaytechcenter.com/startup/agvend-com
AI GPR,AEROSPACE & DEFENSE,UAV sensors with Artificial intelligence built in. Ground Penetrating Radar,https://www.plugandplaytechcenter.com/startup/ai-gpr-com
AI or Not,FINTECH,"AI or Not provides tools to detect AI-generated content in images, audio, and video, helping businesses prevent fraud and misinformation.",https://www.plugandplaytechcenter.com/startup/aiornot-com
ai.io,SPORTSTECH,"Headquartered in London with offices in the US, ai.io is an award-winning technology company that develops technology solutions to generate & analyze amateur & professional sports data, providing real-time analysis & reporting, creating valuable insights & outcomes.",https://www.plugandplaytechcenter.com/startup/ai-io
AICA,ADVANCED MANUFACTURING,AICA is dedicated to use Artificial Intelligence to simplify the programming of robots.,https://www.plugandplaytechcenter.com/startup/aica-tech
Aiden,MOBILITY,"Developer of an automotive software intended to provide rich, reliable and real-time communication across vehicle brands.",https://www.plugandplaytechcenter.com/startup/aidenabled-com
AiFi Inc.,FOOD & BEVERAGE,AiFi is building the world's most advanced checkout-free solution at scale.,https://www.plugandplaytechcenter.com/startup/aifi-io
AiimSense Inc.,MEDTECH,AiimSense develops portable brain scanners to turn expensive head scans with specialized procedures into real-time monitoring routine and preventative care at patient’s bedside.,https://www.plugandplaytechcenter.com/startup/aiimsense-com
AIO Logic,FINTECH,"AI-enabled solutions to automate, integrate, and optimize commercial lending & structured finance.",https://www.plugandplaytechcenter.com/startup/aiologic-io
Aion Network,ENERGY,A powerful platform for building decentralized applications.,https://www.plugandplaytechcenter.com/startup/aion-theoan-com
aiphrodite.ai,BRAND & RETAIL,aiphrodite.ai predicts ad performance via AI personas replicating your customers.,https://www.plugandplaytechcenter.com/startup/aiphrodite-ai
Airalo,MOBILITY,Airalo is an eSIM marketplace that smartphone users can use to buy temporary mobile data plans when traveling abroad.,https://www.plugandplaytechcenter.com/startup/airalo-com
Airbyte,MOBILITY,"Airbyte is the new open-source data integration platform that syncs data from applications, APIs & databases to data warehouses, lakes and other destinations.",https://www.plugandplaytechcenter.com/startup/airbyte-io
Aircon,SUPPLY CHAIN,AirCon is the first gateway-as-a-service in the air cargo industry.,https://www.plugandplaytechcenter.com/startup/airconai-com
Airizon,AEROSPACE & DEFENSE,Smart solution for a clean sky,https://www.plugandplaytechcenter.com/startup/airizon-it
Airkit,INSURTECH,Airkit is a customer engagement platform to rapidly build and deploy intelligent digital journeys across any channel.,https://www.plugandplaytechcenter.com/startup/airkit-com
AirMyne,SUSTAINABILITY,"AirMyne pioneers scalable, safe, and cost-effective direct air capture (DAC) technology using low-temperature liquid solvent processes for permanent carbon sequestration.",https://www.plugandplaytechcenter.com/startup/airmyne-com
airth.io,NEW MATERIALS & PACKAGING,"Data Driven, AI Powered Mining Revolution",https://www.plugandplaytechcenter.com/startup/airth-io
Airwallex,FINTECH,Airwallex is a financial technology company that offers integrated solutions to businesses for cross-border transactions.,https://www.plugandplaytechcenter.com/startup/airwallex-com
Airware,TRAVEL & HOSPITALITY,Two mobile apps to run all above the wing operations,https://www.plugandplaytechcenter.com/startup/airware-aero
airXsys,ENERGY,"through our custom high-density object detection neural networks, we democratize live motion and position information, bring clarity to drivers, cities, and robocars",https://www.plugandplaytechcenter.com/startup/airxsys-com
Aisle AI,SUPPLY CHAIN,"AisleAI equips your teams with powerful, dynamic data and insights to make informed decisions and drive your brand’s success in the independent C-Store channel.",https://www.plugandplaytechcenter.com/startup/aisleai-com
aisle411,BRAND & RETAIL,"Aisle411 Aisle411, a location services platform, allows retailers to develop searchable store maps to help consumers better navigate through stores.",https://www.plugandplaytechcenter.com/startup/aisle411-com
Akido,HEALTH,Akido Labs partners with large healthcare organizations to help them harness and leverage the power of their data.,https://www.plugandplaytechcenter.com/startup/akidolabs-com
AKINOVA Limited,INSURTECH,AkinovA has built an independent and regulated electronic marketplace for the transfer and trading of (re)insurance risks.,https://www.plugandplaytechcenter.com/startup/akinova-com
Akua,FINTECH,The Acquiring processing platform for all Payment Rails,https://www.plugandplaytechcenter.com/startup/akua-la
Alaffia Health,INSURTECH,"Alaffia Health is a healthtech company that uses machine learning to identify and eliminate fraud, waste, and abuse in healthcare claims.",https://www.plugandplaytechcenter.com/startup/alaffiahealth-com
Albert,FINTECH,"Albert is a new type of financial service that automates your finances, with a team of human experts to guide you.",https://www.plugandplaytechcenter.com/startup/meetalbert-com
albo,FINTECH,albo is a mobile and branchless bank which helps you manage your money.,https://www.plugandplaytechcenter.com/startup/albo-mx
Algaebio+,ANIMAL HEALTH,We create beneficial compounds for human and animal health through microalgae.,https://www.plugandplaytechcenter.com/startup/algaebiomas-com
Algaeing (fka Algalife),BRAND & RETAIL,Algalife explores a holistic and sustainable development of new materials which positively affect both the environment and the human skin.,https://www.plugandplaytechcenter.com/startup/alga-life-com
Algorized,MOBILITY,Advanced embedded algorithms and applications using UWB Radar designed for presence detection including breathing and heart-rate even through walls.,https://www.plugandplaytechcenter.com/startup/algorized-com
Alibre,INSURTECH,We connect people with their trusted circles through our platform.,https://www.plugandplaytechcenter.com/startup/alibre-io
"AlikeAudience, Inc.",BRAND & RETAIL,AlikeAudience empowers marketers to predict consumer's next purchase.,https://www.plugandplaytechcenter.com/startup/alikeaudience-com
Aliveo AI,ENTERPRISE & AI,Marketing Data Copilot empowering fast impactful data-driven decisions,https://www.plugandplaytechcenter.com/startup/aliveo-ai
Allium Data,INSURTECH,Allium Data is a Big Data platform for the insurance industry.,https://www.plugandplaytechcenter.com/startup/alliumdata-com
Alpha Impulsion,AEROSPACE & DEFENSE,Space Propulsion Technologies,https://www.plugandplaytechcenter.com/startup/alpha-impulsion-com
AlphaRank,BRAND & RETAIL,Alpharank builds APIs that reimagine historical customer transactions as predictive social influence graphs.,https://www.plugandplaytechcenter.com/startup/alpharank-io
Altitude AI,ADVANCED MANUFACTURING,"Altitude AI offers a platform that processes raw sensor data from 3D and 2D cameras, and force sensors using computer vision algorithms.",https://www.plugandplaytechcenter.com/startup/altitudeai-ai
Alto,HEALTH,Reshaping Home Care Delivery,https://www.plugandplaytechcenter.com/startup/findalto-com
Amb.AI,DEEPTECH,Automated pipeline and sewer condition assessment software.,https://www.plugandplaytechcenter.com/startup/amb-ai-com
Ambr,ENTERPRISE & AI,Prevent workplace burnout.,https://www.plugandplaytechcenter.com/startup/ambr-company
Aminochain,HEALTH,Building Trust in Science and Healthcare,https://www.plugandplaytechcenter.com/startup/aminochain-io
Amitruck,BRAND & RETAIL,Amitruck is a a digital marketplace for efficient trucking logistics in Africa,https://www.plugandplaytechcenter.com/startup/amitruck-com
Ammobia,SMART CITIES,Fueling decarbonization by revolutionizing green ammonia production,https://www.plugandplaytechcenter.com/startup/ammobia-co
aMora,FINTECH,Combining the advantages of purchase with the flexibility of a rental.,https://www.plugandplaytechcenter.com/startup/moreamora-com-br
Amp Health,HEALTH,Help find your WHY to help support you to prevent diabetes,https://www.plugandplaytechcenter.com/startup/amphealth-ca
Ampcera,NEW MATERIALS & PACKAGING,An innovator and market leader in the development and commercialization of solid-state electrolyte and battery technologies.,https://www.plugandplaytechcenter.com/startup/ampcera-com
AMSIMCEL,ADVANCED MANUFACTURING,AMSIMCEL is a High-Performance Computing (HPC) that brings GPU acceleration capabilities into the next generation of Integrated Circuits design tools for the Physical Design Verification.,https://www.plugandplaytechcenter.com/startup/amsimcel-com
Amygda,MOBILITY,"Leveraging AI and Large Language Models to enable disruption-free maintenance operations, increasing operational efficiency & reducing maintenance cost.",https://www.plugandplaytechcenter.com/startup/amygdalabs-com
ANAFLASH,ENERGY,ANAFLASH develops an energy efficient neuromorphic processor for smart edge devices.,https://www.plugandplaytechcenter.com/startup/anaflash-com
Anansii,FINTECH,"Anansii revolutionizes small business finance starting by automating supplier credit programs, reducing manual work and improving payment efficiency.",https://www.plugandplaytechcenter.com/startup/anansii-com
Anathem,HEALTH,Automating the administrative burden of mental health clinicians through AI,https://www.plugandplaytechcenter.com/startup/anathem-ai
AncillaryBox,TRAVEL & HOSPITALITY,"AncillaryBox support airlines through the ancillary journey with data solutions, proprietary targeting algorithms and APIs to deliver high margin ancillary sales.",https://www.plugandplaytechcenter.com/startup/ancillarybox-ai
Angelcam,ENERGY,Angelcam is an online platform that offers cloud-based surveillance cameras.,https://www.plugandplaytechcenter.com/startup/angelcam-com
Angle Health,HEALTH,Health insurance plans for startups,https://www.plugandplaytechcenter.com/startup/anglehealth-com
Aniline,ENTERPRISE & AI,Aniline is a data analytics company specializing in employee perception data.,https://www.plugandplaytechcenter.com/startup/aniline-io
Animoca Brands,DEEPTECH,Animoca Brands focuses on driving digital property rights via NFTs and gaming to help build the open metaverse.,https://www.plugandplaytechcenter.com/startup/animocabrands-com
Annuities Genius,INSURTECH,"Annuities Genius provides software that connects insurance companies, brokers, and retail consumers with insurance rates and benefits.",https://www.plugandplaytechcenter.com/startup/annuitiesgenius-com
Anodyne Chemistries,ENERGY,"Anodyne is a carbon utilization company, transforming CO2 into carbon negative products for a climate positive future.",https://www.plugandplaytechcenter.com/startup/anodynechemistries-com
Anorit Medical,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),Device/ Respiratory breathing,https://www.plugandplaytechcenter.com/startup/anoritmedical-com
"Ansel Health, Inc.",INSURTECH,Ansel Health is a modern supplemental health insurance company that provides personalized financial support to help people on their way to recovery.,https://www.plugandplaytechcenter.com/startup/joinansel-com
Antara Health,INSURTECH,Scaling patient-centered healthcare for everyone,https://www.plugandplaytechcenter.com/startup/antarahealth-com
Antbuildz.com,MOBILITY,Construction Equipment Rental Platform,https://www.plugandplaytechcenter.com/startup/antbuildz-com
Aphy,TRAVEL & HOSPITALITY,Helping hoteliers simplify the 'messyverse' of their systems with process automation,https://www.plugandplaytechcenter.com/startup/aphy-com
Apian,SUPPLY CHAIN,"Apian is an API that integrates drones into the healthcare ecosystem in a simple, scalable and sustainable way.",https://www.plugandplaytechcenter.com/startup/apian-aero
Apoha,FOOD & BEVERAGE,Developing Sensory Intelligence to seamlessly anchor machines into physical reality,https://www.plugandplaytechcenter.com/startup/apoha-com
App Orchid,DEEPTECH,"AI-powered Innovation, Made Easy. App Orchid enables AI-powered business outcomes with measurable ROI in 8-12 weeks.",https://www.plugandplaytechcenter.com/startup/apporchid-com
Appboxo,BRAND & RETAIL,Appboxo provides integration software that allows the launching of miniapps within other native super apps.,https://www.plugandplaytechcenter.com/startup/appboxo-com
ApplyBoard,ENTERPRISE & AI,ApplyBoard is a SaaS-enabled marketplace making it easy for international students to find matched programs and apply to top universities.,https://www.plugandplaytechcenter.com/startup/applyboard-com
Apptronik,SUPPLY CHAIN,Apptronik designs and manufacturers humanoid robots initially focused on logistics and manufacturing.,https://www.plugandplaytechcenter.com/startup/apptronik-com
Apruve,BRAND & RETAIL,Long tail credit and payment automation for global enterprises.,https://www.plugandplaytechcenter.com/startup/apruve-com
Aptivio,ENERGY,Aptivio is the first Augmented Sales Intelligence App to help Account Execs sell more in a volatile economic world.,https://www.plugandplaytechcenter.com/startup/aptiv-io
AQ22,SMART CITIES,We are building AI agents to automate business loan assessments.,https://www.plugandplaytechcenter.com/startup/aq22-ai
Aquacycl,FOOD & BEVERAGE,"Aquacycl™ provides the BioElectrochemical Treatment Technology (BETT™) the only system for energy-neutral, cost-effective onsite wastewater treatment. We help our customers save money while meeting their sustainability goals.",https://www.plugandplaytechcenter.com/startup/aquacycl-com
Aquasensing Incorporated,INSURTECH,Water leak detection with battery-free wireless technology!,https://www.plugandplaytechcenter.com/startup/aquasensing-com
Aquosmic,SUSTAINABILITY,We transform and facilitate the way of accessing the information on the quality of water in the world.,https://www.plugandplaytechcenter.com/startup/aquosmic-com
Ara Labs,FOOD & BEVERAGE,Cargo helps rideshare drivers earn more money by displaying digital ads on their rooftops while they drive.,https://www.plugandplaytechcenter.com/startup/getcargo-today
Aragorn AI,ENTERPRISE & AI,Aragorn AI develops a cloud people resource data integration platform.,https://www.plugandplaytechcenter.com/startup/aragorn-ai
Arbolus,BRAND & RETAIL,Expert relationship software,https://www.plugandplaytechcenter.com/startup/arbolus-com
ARCA Dynamics,AEROSPACE & DEFENSE,ARCA Dynamics provides space traffic management and Earth observation services using and operating proprietary CubeSats nanosatellites,https://www.plugandplaytechcenter.com/startup/arcadynamics-space
ArcanaBio,MEDTECH,Realtime monitoring of your health,https://www.plugandplaytechcenter.com/startup/arcanabio-is
ArcaScience,HEALTH,ArcaScience is an AI tool that enriches and associates massive biomedical datasets.,https://www.plugandplaytechcenter.com/startup/arcascience-org
Arch Pet Food,ANIMAL HEALTH,The next generation of alternative protein dog food and treats.,https://www.plugandplaytechcenter.com/startup/archpetfood-com
Archetype AI,ENTERPRISE & AI,The Physical AI company helping humanity make sense of the world through sensor data.,https://www.plugandplaytechcenter.com/startup/archetypeai-io
Archie.AI,DEEPTECH,"Archie.AI, the Artificially Intelligent Data Scientist.",https://www.plugandplaytechcenter.com/startup/archie-ai
Architect Health,HEALTH,Architect Health helps health plans steer members to custom telehealth options driven by their specific health needs.,https://www.plugandplaytechcenter.com/startup/getarchitecthealth-com
Arcube,CRYPTO & DIGITAL ASSETS,Building the Future of Travel Extras and Ancillaries.,https://www.plugandplaytechcenter.com/startup/arcube-org
Arda Biomaterials,FOOD & BEVERAGE,"Arda Biomaterials transforms waste feedstocks into smarter, circular biomaterials for fashion, home goods, automotive and more.",https://www.plugandplaytechcenter.com/startup/arda-bio
Arena,BRAND & RETAIL,"Arena is a customer data platform for consumer enterprises to create personalized experiences throughout the buyers journey. With Arena, data-driven companies can increase engagement, conversion and revenue. From Media, eCommerce to Brands and Financial companies, Arena grows your business at scale",https://www.plugandplaytechcenter.com/startup/arena-im
Argentium,FINTECH,Lending innovation |AI-powered Document Processing Automation for Mortgage Lending,https://www.plugandplaytechcenter.com/startup/argentium-ai
Argus Cyber Security [Acqu. by Continental],INSURTECH,Argus addresses security issues in connected automobiles by providing comprehensive cyber security solutions for the automotive industry.,https://www.plugandplaytechcenter.com/startup/argus-sec-com
Arkestro,FOOD & BEVERAGE,The only predictive procurement software that helps your team continuously exceed targets.,https://www.plugandplaytechcenter.com/startup/arkestro-com
Arkham,SMART CITIES,Arkham is a Data and AI platform designed to automate the financial operations of Large Enterprises,https://www.plugandplaytechcenter.com/startup/arkham-finance
Armilla AI,INSURTECH,Armilla AI protects organisations from AI risks.,https://www.plugandplaytechcenter.com/startup/armilla-insure
Arro,INSURTECH,Arro is a Los Angeles-based fintech company democratizing access to credit.,https://www.plugandplaytechcenter.com/startup/arrofinance-com
Arsenale,FOOD & BEVERAGE,"Arsenale is building an end-to-end hardware and software platform that spans various stages of the biomanufacturing process, ranging from lab to manufacturing scale.",https://www.plugandplaytechcenter.com/startup/arsenale-bio
Artifact AI,BRAND & RETAIL,AI Agent to manage accounting processes,https://www.plugandplaytechcenter.com/startup/artifactai-uk
Artifakt,BRAND & RETAIL,Multi-Cloud Application Store with management interface,https://www.plugandplaytechcenter.com/startup/artifakt-io
Arva AI,FINTECH,AI to scale AML and KYB operations,https://www.plugandplaytechcenter.com/startup/arva-io
Arvist,DEEPTECH,"Arvist allows supply chain operators to remotely manage quality, throughput and safety creating efficient, streamlined warehousing operations without any additional infrastructure costs.",https://www.plugandplaytechcenter.com/startup/arvist-ai
AS.CAR.I,MOBILITY,AS.CAR.I technology enhances high performance driving experience by providing on-track assistance to optimally control the car up to its limits.,https://www.plugandplaytechcenter.com/startup/ascari-ai
ASay Inc.,FINTECH,Say is a fintech startup founded to empower shareholders to access their full ownership rights.,https://www.plugandplaytechcenter.com/startup/say-com
Ash Wellness,INSURTECH,Ash Wellness is a remote diagnostics company that offers at-home diagnostic testing for customers and patients.,https://www.plugandplaytechcenter.com/startup/poweredbyash-com
Ashare,DEEPTECH,Ashare is a financial services provider that makes personalized financial expertise inclusive and accessible for all employees.,https://www.plugandplaytechcenter.com/startup/joinashare-com
Asima Health Inc.,HEALTH,"World's fastest, simplest and cheapest pan-cancer screening platform.",https://www.plugandplaytechcenter.com/startup/asimahealth-com
"Asimily, Inc.",HEALTH,"Asimily provides an Inventory, Cyber-security and Operational management solution for all Connected devices, including IoT, IoMT, ICS and Lab devices.",https://www.plugandplaytechcenter.com/startup/asimily-com
askporter,MOBILITY,askporter is an AI assistant & management platform for real world assets.,https://www.plugandplaytechcenter.com/startup/askporter-com
Asset Direct,DEEPTECH,Asset Direct is a groundbreaking global financial services marketplace,https://www.plugandplaytechcenter.com/startup/assetdirect-io
Astrus,SMART CITIES,Automating Analog Layout for Integrated Circuit Design,https://www.plugandplaytechcenter.com/startup/astrus-ai
Ateios Inc.,ENERGY,"Ateios has engineered the first ultra-thin, flexible, printed battery.",https://www.plugandplaytechcenter.com/startup/ateios-com
Atem,SUSTAINABILITY,"Simple, efficient carbon offsetting.",https://www.plugandplaytechcenter.com/startup/atem-green
Athian,AGTECH,"Athian’s cloud-based platform benchmarks, validates and certifies Scope 3 Greenhouse Gas reductions for the animal agriculture value chain, that are sold as carbon insetting credits to fund on-farm sustainable practice changes.",https://www.plugandplaytechcenter.com/startup/athian-ai
Atmo,ENERGY,Atmo predicts the impact of weather on your business.,https://www.plugandplaytechcenter.com/startup/atmo-ai
Atolla Tech,AGTECH,Atolla Tech develops sensor systems and machine learning providing real-time insect detection and identification,https://www.plugandplaytechcenter.com/startup/atolla-tech
atronous.ai,BRAND & RETAIL,Automating product digitization and marketplace submissions to drive efficiency and higher conversion rates for retailers and suppliers.,https://www.plugandplaytechcenter.com/startup/atronous-ai
Attest Laboratories,HEALTH,Next generation metabolite biomarker testing for diabetes and other metabolic conditions. KNOW. NOW.,https://www.plugandplaytechcenter.com/startup/attestlabs-com
Attestiv,MOBILITY,"Attestiv provides cloud-scale validation of digital photos, documents and videos using patented AI, protecting against fraud, deepfakes and generative AI for insurance, financial services and related industries.",https://www.plugandplaytechcenter.com/startup/attestiv-com
Auba.ai,SUPPLY CHAIN,Auba is an AI-based assistant designed to prevent supply chain disruption and identify opportunities to realize cost savings across core industries.,https://www.plugandplaytechcenter.com/startup/auba-ai
AudioMob,MEDIA & ADVERTISING,Enabling brands to reach mobile gamers non-intrusively using audio ads.,https://www.plugandplaytechcenter.com/startup/audiomob-io
Augmented Pixels,ENERGY,"Computer vision, SLAM, 3d mapping for mobile devices, robots and drones.",https://www.plugandplaytechcenter.com/startup/augmentedpixels-com
Augmentor,BRAND & RETAIL,"A new way to effortlessly find what you need across mail, comms and planning tools.",https://www.plugandplaytechcenter.com/startup/augmentor-ai
Aumet,HEALTH,Sell medical products from manufacturers to healthcare providers by automating finding distributors and product registration.,https://www.plugandplaytechcenter.com/startup/aumet-me
Aureus Analytics,INSURTECH,Data Analytics Solutions for the Insurance Industry.,https://www.plugandplaytechcenter.com/startup/aureusanalytics-com
Aurora Labs,ENERGY,Self-Healing Software for Connected Cars,https://www.plugandplaytechcenter.com/startup/auroralabs-com
Autobon AI,MOBILITY,The Virtual 'Co-Pilot' Advanced Driver Assistant For Commercial Vehicles and Truck Drivers.,https://www.plugandplaytechcenter.com/startup/autobon-ai
AutoCoin,FINTECH,Earn while you drive.,https://www.plugandplaytechcenter.com/startup/theautocoin-ca
Autolane,BRAND & RETAIL,"Autolane is an autonomous delivery platform that enables last-mile delivery of grocery, retail, food, and packages via autonomous vehicles.",https://www.plugandplaytechcenter.com/startup/goautolane-com
Automation Hero,ENERGY,Automation Hero helps companies process any type of document faster than ever with the most powerful and complete intelligent document processing platform. It offers the easiest-to-use and most accurate AI in the industry so customers can instead focus on accelerating processes to stay companies.,https://www.plugandplaytechcenter.com/startup/automationhero-ai
AutoX,FOOD & BEVERAGE,AutoX's disruptive camera-first AI brings self-driving cars out of the lab into the real world.,https://www.plugandplaytechcenter.com/startup/autox-ai
Avantos,FINTECH,"Avantos delivers an AI-driven SaaS platform for Onboarding and Servicing, with flexible data models to tailor seamless user journeys.",https://www.plugandplaytechcenter.com/startup/avantos-ai
Avata,INSURTECH,"Avata is an insurtech enabling digital asset risk coverage, such as for NFTs. We connect digital marketplaces and their clients with capacity from our insurance partners to enable consumers to protect their assets.",https://www.plugandplaytechcenter.com/startup/avata-gg
AVATAR MEDICAL,HEALTH,AVATAR MEDICAL™ is a VR medical images solution focused on improving the preparation of surgeries.,https://www.plugandplaytechcenter.com/startup/avatarmedical-ai
